Id,Amount,EntryDate,Date,ReceiptNumber,PaymentTotal,TransactionTypeId,MemberId,InterestTotal,PaymentCompleted,EntryType,IsReversal,ReversedBy
16947,30,28:19.9,00:00.0,724,0,3,411,0,0,cr,0,
16948,20,28:19.9,00:00.0,724,0,1,411,0,0,cr,0,
16949,40,29:19.6,00:00.0,725,0,1,398,0,0,cr,0,
16950,50,30:00.8,00:00.0,726,0,1,322,0,0,cr,0,
16951,30,30:48.0,00:00.0,727,0,3,332,0,0,cr,0,
16952,50,30:48.0,00:00.0,727,0,1,332,0,0,cr,0,
16953,20,31:46.0,00:00.0,728,0,1,389,0,0,cr,0,
16954,20,32:35.9,00:00.0,848,0,3,343,0,0,cr,0,
16955,20,32:35.9,00:00.0,848,0,1,343,0,0,cr,0,
16956,15,33:33.7,00:00.0,849,0,1,371,0,0,cr,0,
16957,20,34:16.0,00:00.0,850,0,1,385,0,0,cr,0,
16958,10,35:08.5,00:00.0,850,0,1,408,0,0,cr,0,
16959,10,36:05.2,00:00.0,730,0,1,306,0,0,cr,0,
16960,10,36:53.3,00:00.0,730,0,3,306,0,0,cr,0,
16961,40,37:36.1,00:00.0,731,0,3,20,0,0,cr,0,
16962,100,38:30.5,00:00.0,732,0,1,14,0,0,cr,0,
16963,10,39:14.7,00:00.0,733,0,1,416,0,0,cr,0,
16964,10,39:53.1,00:00.0,734,0,1,415,0,0,cr,0,
16965,10,58:12.2,00:00.0,735,0,3,343,0,0,cr,0,
16966,20,58:12.2,00:00.0,735,0,1,343,0,0,cr,0,
16967,50,39:35.4,00:00.0,736,0,3,412,0,0,cr,0,
16968,100,39:35.4,00:00.0,736,0,1,412,0,0,cr,0,
16969,100,41:28.3,00:00.0,737,0,1,375,0,0,cr,0,
16970,20,42:21.5,00:00.0,738,0,1,385,0,0,cr,0,
16971,10,43:15.1,00:00.0,739,0,3,1574,0,0,cr,0,
16972,50,43:15.1,00:00.0,739,0,1,1574,0,0,cr,0,
16973,40,44:23.8,00:00.0,740,0,3,304,0,0,cr,0,
16974,20,44:23.8,00:00.0,740,0,1,304,0,0,cr,0,
16975,50,45:25.6,00:00.0,741,0,1,406,0,0,cr,0,
16976,20,46:13.8,00:00.0,742,0,1,371,0,0,cr,0,
16977,20,46:56.2,00:00.0,743,0,3,409,0,0,cr,0,
16978,50,46:56.2,00:00.0,743,0,1,409,0,0,cr,0,
16979,20,48:02.9,00:00.0,744,0,1,306,0,0,cr,0,
16980,200,48:52.8,00:00.0,745,0,1,384,0,0,cr,0,
16981,20,49:42.1,00:00.0,746,0,3,332,0,0,cr,0,
16982,50,49:42.1,00:00.0,746,0,1,332,0,0,cr,0,
16983,100,50:46.2,00:00.0,747,0,3,294,0,0,cr,0,
16984,100,50:46.2,00:00.0,747,0,1,294,0,0,cr,0,
16985,10,52:00.3,00:00.0,748,0,1,425,0,0,cr,0,
16986,80,52:49.3,00:00.0,749,0,1,391,0,0,cr,0,
16987,80,53:42.1,00:00.0,750,0,1,392,0,0,cr,0,
16988,100,54:34.9,00:00.0,852,0,1,403,0,0,cr,0,
16989,190,55:36.8,00:00.0,853,0,1,426,0,0,cr,0,
16990,190,56:31.0,00:00.0,854,0,1,427,0,0,cr,0,
16991,60,57:25.9,00:00.0,855,0,1,398,0,0,cr,0,
16992,50,58:20.6,00:00.0,856,0,1,322,0,0,cr,0,
16993,20,59:11.6,00:00.0,859,0,3,329,0,0,cr,0,
16994,50,09:30.2,00:00.0,860,0,1,322,0,0,cr,0,
16995,30,12:02.3,00:00.0,1051,0,3,304,0,0,cr,0,
16996,20,12:02.3,00:00.0,1051,0,1,304,0,0,cr,0,
16997,20,13:38.2,00:00.0,1052,0,1,20,0,0,cr,0,
16998,20,16:02.9,00:00.0,1053,0,1,385,0,0,cr,0,
16999,50,17:49.7,00:00.0,1054,0,1,392,0,0,cr,0,
17000,50,19:33.0,00:00.0,1055,0,1,391,0,0,cr,0,
17001,20,20:29.4,00:00.0,1056,0,1,428,0,0,cr,0,
17002,50,01:24.6,00:00.0,1057,0,1,426,0,0,cr,0,
17003,20,03:14.3,00:00.0,1058,0,3,340,0,0,cr,0,
17004,10,04:17.3,00:00.0,861,0,3,422,0,0,cr,0,
17005,20,04:17.3,00:00.0,861,0,1,422,0,0,cr,0,
17006,50,06:02.4,00:00.0,862,0,1,409,0,0,cr,0,
17007,20,06:57.6,00:00.0,863,0,1,370,0,0,cr,0,
17008,50,07:55.4,00:00.0,864,0,1,19,0,0,cr,0,
17009,20,11:20.8,00:00.0,865,0,1,408,0,0,cr,0,
17010,30,12:20.4,00:00.0,866,0,1,389,0,0,cr,0,
17011,20,13:10.9,00:00.0,867,0,1,17,0,0,cr,0,
17012,20,13:54.4,00:00.0,1059,0,1,415,0,0,cr,0,
17013,20,14:33.1,00:00.0,1060,0,1,416,0,0,cr,0,
17014,100,15:10.2,00:00.0,1061,0,1,14,0,0,cr,0,
17015,100,16:10.2,00:00.0,W001,0,1,375,0,0,dr,0,
17016,10,39:32.9,00:00.0,1062,0,3,422,0,0,cr,0,
17017,20,39:32.9,00:00.0,1062,0,1,422,0,0,cr,0,
17018,10,40:42.1,00:00.0,1063,0,1,421,0,0,cr,0,
17019,60,41:28.2,00:00.0,1064,0,1,1574,0,0,cr,0,
17020,20,42:11.7,00:00.0,1065,0,1,371,0,0,cr,0,
17021,50,46:46.7,00:00.0,1066,0,1,390,0,0,cr,0,
17022,30,47:33.4,00:00.0,1067,0,3,304,0,0,cr,0,
17023,20,47:33.4,00:00.0,1067,0,1,304,0,0,cr,0,
17024,50,48:40.3,00:00.0,1069,0,1,341,0,0,cr,0,
17025,30,49:30.7,00:00.0,1071,0,1,386,0,0,cr,0,
17026,10,50:19.5,00:00.0,1072,0,3,306,0,0,cr,0,
17027,10,50:19.5,00:00.0,1072,0,1,306,0,0,cr,0,
17028,20,51:37.7,00:00.0,868,0,1,343,0,0,cr,0,
17029,20,52:34.5,00:00.0,869,0,3,409,0,0,cr,0,
17030,100,52:34.5,00:00.0,869,0,1,409,0,0,cr,0,
17031,20,54:05.3,00:00.0,870,0,1,385,0,0,cr,0,
17032,100,54:43.5,00:00.0,871,0,1,398,0,0,cr,0,
17033,10,55:43.1,00:00.0,872,0,1,404,0,0,cr,0,
17034,10,56:26.7,00:00.0,873,0,1,425,0,0,cr,0,
17035,50,57:11.9,00:00.0,874,0,1,392,0,0,cr,0,
17036,50,57:52.8,00:00.0,875,0,1,391,0,0,cr,0,
17037,50,58:32.8,00:00.0,876,0,3,332,0,0,cr,0,
17038,50,58:32.8,00:00.0,876,0,1,332,0,0,cr,0,
17039,20,59:29.7,00:00.0,877,0,1,321,0,0,cr,0,
17040,50,00:43.4,00:00.0,878,0,1,322,0,0,cr,0,
17041,20,01:27.1,00:00.0,879,0,1,320,0,0,cr,0,
17042,50,46:23.8,00:00.0,880,0,3,412,0,0,cr,0,
17043,100,46:23.8,00:00.0,880,0,1,412,0,0,cr,0,
17044,20,47:33.8,00:00.0,881,0,1,385,0,0,cr,0,
17045,60,48:38.7,00:00.0,882,0,1,391,0,0,cr,0,
17046,60,49:14.8,00:00.0,883,0,1,392,0,0,cr,0,
17047,20,50:05.9,00:00.0,884,0,1,17,0,0,cr,0,
17048,30,50:42.6,00:00.0,885,0,1,389,0,0,cr,0,
17049,30,51:24.4,00:00.0,886,0,3,304,0,0,cr,0,
17050,20,51:24.4,00:00.0,886,0,1,304,0,0,cr,0,
17051,20,52:24.5,00:00.0,887,0,1,371,0,0,cr,0,
17052,50,53:41.7,00:00.0,888,0,3,332,0,0,cr,0,
17053,50,53:41.7,00:00.0,888,0,1,332,0,0,cr,0,
17054,50,55:23.7,00:00.0,889,0,1,430,0,0,cr,0,
17055,30,56:22.3,00:00.0,890,0,1,20,0,0,cr,0,
17056,10,56:58.8,00:00.0,891,0,1,329,0,0,cr,0,
17057,50,19:34.7,00:00.0,501,0,1,341,0,0,cr,0,
17058,50,20:36.9,00:00.0,502,0,1,392,0,0,cr,0,
17059,40,21:17.9,00:00.0,503,0,1,390,0,0,cr,0,
17060,50,21:50.4,00:00.0,504,0,1,391,0,0,cr,0,
17061,200,22:47.1,00:00.0,507,0,1,1572,0,0,cr,0,
17062,50,27:06.0,00:00.0,508,0,1,1573,0,0,cr,0,
17063,50,28:07.6,00:00.0,510,0,1,317,0,0,cr,0,
17064,100,28:44.0,00:00.0,509,0,3,316,0,0,cr,0,
17065,100,28:44.0,00:00.0,509,0,1,316,0,0,cr,0,
17066,10,29:49.3,00:00.0,551,0,1,371,0,0,cr,0,
17067,60,30:42.3,00:00.0,552,0,1,1574,0,0,cr,0,
17068,20,31:27.2,00:00.0,553,0,3,422,0,0,cr,0,
17069,40,31:27.2,00:00.0,553,0,1,422,0,0,cr,0,
17070,10,41:52.1,00:00.0,554,0,3,304,0,0,cr,0,
17071,10,41:52.1,00:00.0,554,0,1,304,0,0,cr,0,
17072,20,42:50.4,00:00.0,892,0,1,401,0,0,cr,0,
17073,20,43:31.8,00:00.0,893,0,1,402,0,0,cr,0,
17074,10,44:13.3,00:00.0,894,0,1,421,0,0,cr,0,
17075,20,44:49.8,00:00.0,895,0,1,425,0,0,cr,0,
17076,20,45:33.2,00:00.0,896,0,3,409,0,0,cr,0,
17077,100,45:33.2,00:00.0,896,0,1,409,0,0,cr,0,
17078,50,46:31.9,00:00.0,897,0,3,332,0,0,cr,0,
17079,50,46:31.9,00:00.0,897,0,1,332,0,0,cr,0,
17080,10,47:29.7,00:00.0,511,0,3,306,0,0,cr,0,
17081,10,47:29.7,00:00.0,511,0,1,306,0,0,cr,0,
17082,20,48:23.0,00:00.0,555,0,1,421,0,0,cr,0,
17083,20,11:14.7,00:00.0,556,0,3,432,0,0,cr,0,
17084,20,11:14.7,00:00.0,556,0,1,432,0,0,cr,0,
17085,20,12:15.9,00:00.0,557,0,1,343,0,0,cr,0,
17086,10,13:01.9,00:00.0,512,0,3,422,0,0,cr,0,
17087,20,13:01.9,00:00.0,512,0,1,422,0,0,cr,0,
17088,30,13:59.0,00:00.0,513,0,3,304,0,0,cr,0,
17089,30,13:59.0,00:00.0,513,0,1,304,0,0,cr,0,
17090,50,15:10.9,00:00.0,514,0,3,332,0,0,cr,0,
17091,50,15:10.9,00:00.0,514,0,1,332,0,0,cr,0,
